W3ALCD,Doing_Business_As,Restaurant_Address,Inspection_Date,Major_Violation_Improper_Holding_Temperature,Minor_Violation_Improper_Holding_Temperature,Major_Violation_Inadequate_Cooking,Minor_Violation_Inadequate_Cooking,Major_Violation_Personal_Hygiene,Minor_Violation_Personal_Hygiene,Major_Violation_Contaminated_Equipment,Minor_Violation_Contaminated_Equipment,Major_Violation_Unsafe_Food_Source,Minor_Violation_Unsafe_Food_Source,InDbDate
FA0000793,LIK LIQUORS,"2495 SACRAMENTO ST
BERKELEY, CA
(37.862346, -122.28105)",10/16/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000193,FAT APPLE'S INC.,"1346 M L KING JR WY
BERKELEY, CA",10/16/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000568,SEABREEZE MARKET & DELI,"598 UNIVERSITY AVE
BERKELEY, CA
(37.866427, -122.305095)",11/29/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001366,ALCHEMY COOPERATIVE INC.,"1741 ALCATRAZ AVE
BERKELEY, CA
(37.848597, -122.272524)",12/13/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000353,CHAAT CAFE,"1902 UNIVERSITY AVE
BERKELEY, CA
(37.871509, -122.272955)",10/24/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000504,BERKELEY BOWL KITCHEN,"2020 OREGON ST
BERKELEY, CA
(37.857544, -122.267497)",12/07/2018,0,1,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000544,SHATTUCK MARKET,"2441 SHATTUCK AVE
BERKELEY, CA
(37.865051, -122.267421)",01/23/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000794,BREADS OF INDIA,"2448 SACRAMENTO ST
BERKELEY, CA
(37.862293, -122.281218)",01/16/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000070,STARRY PLOUGH,"3101 SHATTUCK AVE
BERKELEY, CA
(37.852961, -122.266195)",09/07/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001119,KABANA RESTAURANT 1025,"1025 UNIVERSITY AVE
BERKELEY, CA
(37.868944, -122.29318)",09/10/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000949,BACHEESO,"2650 TELEGRAPH AVE
BERKELEY, CA
(37.861565, -122.258977)",02/06/2019,0,1,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001093,CRUNCH,"2144 CENTER ST
BERKELEY, CA
(37.870482, -122.266781)",10/01/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001738,BERKELEY SOCIAL CLUB,"2050 UNIVERSITY AVE
BERKELEY, CA
(37.871953, -122.269545)",02/14/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001845,MISTER BOLENCA,"2049 SAN PABLO AVE
BERKELEY, CA
(37.868619, -122.291899)",12/12/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000798,JUST-RITE GROCERY,"926 CHANNING WY
BERKELEY, CA
(37.862205, -122.29341)",10/19/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001219,SALKHI PETROLEUM INC.,"2996 TELEGRAPH AVE
BERKELEY, CA
(37.856326, -122.259709)",02/04/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000483,ALCATRAZ MARKET,"1601 ALCATRAZ AVE
BERKELEY, CA
(37.848152, -122.275807)",08/13/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000479,CALIFORNIA ROSE CATERING,"1012 GRAYSON ST
BERKELEY, CA
(37.855905, -122.289502)",11/13/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000227,GENJI SUSHI,"3000 TELEGRAPH AVE
BERKELEY, CA
(37.855435, -122.259841)",10/16/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000308,CAFE STRADA,"2300 COLLEGE AVE
BERKELEY, CA
(37.868957, -122.254552)",08/09/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000448,JUNE TAYLOR COMPANY,"2207 FOURTH ST
BERKELEY, CA
(37.864728, -122.298989)",10/29/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000019,JACK-IN-THE-BOX,"2197 SAN PABLO AVE
BERKELEY, CA
(37.866566, -122.291246)",12/03/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000672,IMPERIAL TEA COURT,"1511-F SHATTUCK AVE
BERKELEY, CA
(37.879781, -122.269181)",02/11/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001531,KAFFA ETHIOPIAN CUISINE,"2987 SACRAMENTO ST
BERKELEY, CA
(37.853509, -122.278994)",10/18/2018,0,1,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001862,FRIENDLY MARKET,"127 BERKELEY SQ
BERKELEY, CA
(37.87111, -122.267715)",06/22/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002023,MODERN COFFEE,"2025 CENTER ST
BERKELEY, CA
(37.870055, -122.269956)",12/18/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001582,MOUNTAIN MIKE'S PIZZA,"1610 SAN PABLO AVE
BERKELEY, CA
(37.874943, -122.294097)",09/21/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000088,SPUN SUGAR,"1611 UNIVERSITY AVE
BERKELEY, CA
(37.870781, -122.279495)",09/10/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000120,TASTE OF THE HIMALAYAS,"1700 SHATTUCK AVE
BERKELEY, CA
(37.876307, -122.268923)",08/13/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000030,NATION'S,"1800 UNIVERSITY AVE
BERKELEY, CA
(37.871246, -122.274991)",08/30/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001423,IMM THAI,"2068 UNIVERSITY AVE
BERKELEY, CA
(37.872013, -122.269096)",01/29/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001019,"THE LOCAL BUTCHER SHOP, LLC","1600 SHATTUCK AVE
BERKELEY, CA
(37.878113, -122.269114)",01/30/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000667,THAI DELIGHT CUISINE CO. LTD,"1700 SHATTUCK AVE
BERKELEY, CA
(37.876307, -122.268923)",08/13/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000586,TOP DOG #5,"2160 CENTER ST
BERKELEY, CA
(37.870541, -122.266338)",10/11/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001707,FAMOUS BAO,"2431 DURANT AVE
BERKELEY, CA
(37.86769, -122.259939)",10/09/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001813,IPPUDO,"2015 SHATTUCK AVE
BERKELEY, CA
(37.871901, -122.268389)",08/06/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000450,OCEAN VIEW MARKET,"1468 SIXTH ST
BERKELEY, CA
(37.87535, -122.300048)",12/27/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001970,SUPER DUPER BURGER,"2355 TELEGRAPH AVE
BERKELEY, CA
(37.86765, -122.25896)",01/17/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000422,PEET'S COFFEE & TEA/VINE,"2124 VINE ST
BERKELEY, CA
(37.880308, -122.268709)",12/14/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000012,MI RANCHITO BAYSIDE MARKET,"2032 SAN PABLO AVE
BERKELEY, CA
(37.868558, -122.292047)",10/19/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000420,THE CHEESE BOARD PIZZA,"1512 SHATTUCK AVE
BERKELEY, CA
(37.879871, -122.269316)",02/14/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001303,POTLIQUOR LLC,"2701 8TH ST
BERKELEY, CA
(37.856919, -122.291833)",09/06/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001801,EARTHBAR,"2600 SHATTUCK AVE
BERKELEY, CA
(37.861677, -122.26716)",11/08/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001417,PIPELINE CAFE,"2131 DURANT AVE
BERKELEY, CA
(37.866846, -122.266434)",02/08/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001393,HOI POLLOI BREWPUB,"1763 ALCATRAZ AVE
BERKELEY, CA
(37.848647, -122.272151)",10/19/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000528,STEVE'S KOREAN BAR-B-Q,"2521 DURANT AVE
BERKELEY, CA
(37.867947, -122.257926)",01/10/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001478,MURACCI'S III,"2428 TELEGRAPH AVE
BERKELEY, CA
(37.866398, -122.258702)",02/20/2019,0,1,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000297,PLEARN THAI RESTAURANT,"1923 UNIVERSITY AVE
BERKELEY, CA
(37.871686, -122.272352)",07/11/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000385,COFFEE SACK,"2701 COLLEGE AVE
BERKELEY, CA
(37.86211, -122.253551)",02/04/2019,0,1,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000757,STRADAVARIUS,"2680 BANCROFT WY
BERKELEY, CA
(37.869229, -122.255004)",07/17/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001319,IYASARE,"1830 4TH ST
BERKELEY, CA
(37.86939, -122.300453)",09/20/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002029,THISTLE HEALTH INC. #2,"1435 4TH ST
BERKELEY, CA
(37.875529, -122.30246)",01/10/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001564,DELTAN DIVERSIFIED INC.,"1300 SAN PABLO AVE
BERKELEY, CA
(37.880228, -122.295798)",09/12/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
